Axis Item,SMR,Calendar,Eng.Speed(Max),Eng.Speed(Ave),BlowbyPress Max,LBF Exh.TempMax,LBR Exh.TempMax,RBF Exh.TempMax,RBR Exh.TempMax,Boost Press Max,EOil Pre.MAX,E.Oil P.L_Min,E.Oil P.H_Min,Eng.Oil Tmp.MAX,Cool Temp.MAX,Cool Temp.Min,Fuel Rate,Ambient TempMax,Ambient TempAve,Ambient TempMin,Atomos. Pres.Ave,Pump 1F P.Max,Pump 1R P.Max,Pump 2F P.Max,Pump 2R P.Max,FanPumpF P.Max,FanPumpR P.Max,HydOilTempMax,HydOilTempAve,HydOilTempMin,PTO Temp Max,PTO Temp Min,Truck Counter1,Truck Counter2,Load1F,Load1R,Load2F,Load2R,LoadFF,LoadFR,Load Count,Swing Count,Auto GRS P.Max,Auto GRS P. ON,Pump1 Torque Max,Pump1 Torque Ave,Pump2 Torque Max,Pump2 Torque Ave,FanPumpTorque Max,FanPumpTorque Ave,Engine Power Max,Engine Power Ave,Eco Mode on
Axis Scale,h,,rpm,rpm,kPa,degC,degC,degC,degC,kPa,MPa,MPa,MPa,degC,degC,degC,Liter/h,degC,degC,degC,hPa,MPa,MPa,MPa,MPa,MPa,MPa,degC,degC,degC,degC,degC,Times,Times,10^8Times,10^8Times,10^8Times,10^8Times,10^6Times,10^6Times,Times,Times,MPa,Times,Nm,Nm,Nm,Nm,Nm,Nm,kW,kW,sec

[Data]
,84579,1721278166|28800|0,1977,1597,246,626,619,638,608,103,47,15,30,98,86,67,1283,36,31,29,99,406,303,339,303,152,254,70,62,35,87,52,0,0,28776117,25911225,16484930,18808105,2828,1035257,720000,4722,199,115,3902,1145,2844,936,442,137,724,480,40681
,84780,1721376404|28800|0,1979,1591,250,629,624,638,608,102,54,15,32,98,85,52,1119,40,32,25,99,393,309,338,306,138,250,70,60,36,88,39,0,0,26407255,17162002,10586121,11502070,3142,1496228,720000,4299,202,118,3449,940,2946,717,494,140,722,408,34525
,84981,1721515501|28800|0,1978,1611,535,634,630,643,614,103,60,15,31,98,86,35,1206,40,33,24,99,369,308,351,304,173,254,71,61,29,87,30,0,0,30206388,20877712,13851195,15425080,5479,1136304,720000,4304,204,118,3665,1040,3445,815,530,137,725,445,37606
,85181,1721630754|28800|0,1979,1577,519,631,625,643,612,103,60,15,33,98,85,39,1146,37,31,24,99,390,314,356,304,147,262,71,60,27,86,30,0,0,28476485,19929681,13375347,15000373,1526,1327707,720000,4320,207,116,3365,982,3028,790,469,140,722,421,54908
,85381,1721713150|28800|0,1980,1595,272,631,624,639,611,103,46,15,30,98,85,66,1201,36,30,29,99,368,299,340,304,122,246,67,60,37,83,51,0,0,24707652,22653846,12809244,15104195,1644,1288632,720000,4113,198,114,3300,1046,2862,827,440,140,729,444,32365
,85582,1721791255|28800|0,1982,1552,255,632,628,640,614,104,47,15,32,98,85,67,1144,36,30,27,99,374,300,355,302,110,234,67,58,37,85,50,0,0,25100422,21825061,12160276,14334140,1866,1778408,720000,3932,199,115,3206,1002,2910,780,429,146,736,422,34700
,85782,1721879847|28800|0,1985,1626,254,634,627,642,614,104,52,1,1,99,86,59,1255,37,32,27,99,364,308,347,305,129,225,71,63,32,90,43,0,0,25846600,24516083,13631078,16115621,3217,868521,720000,4720,197,105,3486,1097,3065,866,420,132,722,467,20945
,85982,1721958514|28800|0,1976,1571,253,629,621,638,608,104,46,15,31,100,88,67,1201,39,33,30,99,360,305,338,303,177,252,74,63,39,90,52,0,0,27612860,23368433,13440631,15653366,15604,1023524,720000,4375,197,103,3057,1076,2811,841,501,136,723,445,40822
,86183,1722044604|28800|0,1978,1573,342,614,610,628,593,104,49,15,31,100,87,63,1180,40,32,28,99,395,308,339,305,115,239,72,61,33,90,49,0,0,25326836,21868686,12242000,13704949,4776,1561336,720000,4258,201,112,3601,1034,3082,798,443,141,722,436,17954
,86383,1722124414|28800|0,1979,1546,266,625,622,640,604,104,48,15,31,99,86,64,1168,38,32,28,99,361,298,346,306,109,240,69,60,35,85,50,0,0,25389124,23665073,14705598,16459990,2794,1559897,720000,4183,198,115,3611,1028,2959,836,446,145,731,432,41205
